Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,GraphQLClient\GraphQLClient.csproj,File,GraphQLClient\GraphQLClient.csproj,,,,,,,,Current target framework: net7.0 Recommended target framework: net10.0
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,GraphQLClient\GraphQLClient.csproj,File,GraphQLClient\Program.cs,10,4,"M:Microsoft.AspNetCore.Builder.ExceptionHandlerExtensions.UseExceptionHandler(Microsoft.AspNetCore.Builder.IApplicationBuilder,System.String)",,,,,"app.UseExceptionHandler(""/Error"");"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,GraphQLServer\GraphQLServer.csproj,File,GraphQLServer\GraphQLServer.csproj,,,Microsoft.AspNetCore.OpenApi 7.0.11,,,,,"Microsoft.AspNetCore.OpenApi, 7.0.11  Recommendation:  Remove Microsoft.AspNetCore.OpenApi, and replace with new package Microsoft.AspNetCore.OpenApi 10.0.11"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,GraphQLServer\GraphQLServer.csproj,File,GraphQLServer\GraphQLServer.csproj,,,,,,,,Current target framework: net7.0 Recommended target framework: net10.0
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,GRPCClient\GRPCClient.csproj,File,GRPCClient\GRPCClient.csproj,,,,,,,,Current target framework: net7.0 Recommended target framework: net10.0
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,GRPCServer\GRPCServer.csproj,File,GRPCServer\GRPCServer.csproj,,,,,,,,Current target framework: net7.0 Recommended target framework: net10.0
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,MQTTClient\MQTTClient.csproj,File,MQTTClient\MQTTClient.csproj,,,,,,,,Current target framework: net7.0 Recommended target framework: net10.0
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,MQTTServer\MQTTServer.csproj,File,MQTTServer\MQTTServer.csproj,,,Microsoft.Extensions.Logging.Abstractions 7.0.1,,,,,"Microsoft.Extensions.Logging.Abstractions, 7.0.1  Recommendation:  Remove Microsoft.Extensions.Logging.Abstractions, and replace with new package Microsoft.Extensions.Logging.Abstractions 10.0.11"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,MQTTServer\MQTTServer.csproj,File,MQTTServer\MQTTServer.csproj,,,,,,,,Current target framework: net7.0 Recommended target framework: net10.0
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,Protocols.Common\Protocols.Common.csproj,File,Protocols.Common\Protocols.Common.csproj,,,Newtonsoft.Json 13.0.3,,,,,"Newtonsoft.Json, 13.0.3  Recommendation:  Remove Newtonsoft.Json, and replace with new package Newtonsoft.Json 13.0.4"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,Protocols.Common\Protocols.Common.csproj,File,Protocols.Common\Protocols.Common.csproj,,,,,,,,Current target framework: net7.0 Recommended target framework: net10.0
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,RESTClient\RESTClient.csproj,File,RESTClient\RESTClient.csproj,,,Newtonsoft.Json 13.0.3,,,,,"Newtonsoft.Json, 13.0.3  Recommendation:  Remove Newtonsoft.Json, and replace with new package Newtonsoft.Json 13.0.4"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,RESTClient\RESTClient.csproj,File,RESTClient\RESTClient.csproj,,,,,,,,Current target framework: net7.0 Recommended target framework: net10.0
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,RESTClient\RESTClient.csproj,File,RESTClient\Pages\create.cshtml.cs,62,20,T:System.Net.Http.HttpContent,,,,,return await response.Content.ReadAsStringAsync();
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,RESTServer\RESTServer.csproj,File,RESTServer\RESTServer.csproj,,,Microsoft.AspNetCore.OpenApi 7.0.11,,,,,"Microsoft.AspNetCore.OpenApi, 7.0.11  Recommendation:  Remove Microsoft.AspNetCore.OpenApi, and replace with new package Microsoft.AspNetCore.OpenApi 10.0.11"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,RESTServer\RESTServer.csproj,File,RESTServer\RESTServer.csproj,,,Newtonsoft.Json 13.0.3,,,,,"Newtonsoft.Json, 13.0.3  Recommendation:  Remove Newtonsoft.Json, and replace with new package Newtonsoft.Json 13.0.4"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,RESTServer\RESTServer.csproj,File,RESTServer\RESTServer.csproj,,,,,,,,Current target framework: net7.0 Recommended target framework: net10.0
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,SOAPServer\SOAPServer.csproj,File,SOAPServer\SOAPServer.csproj,,,Microsoft.AspNetCore.OpenApi 7.0.11,,,,,"Microsoft.AspNetCore.OpenApi, 7.0.11  Recommendation:  Remove Microsoft.AspNetCore.OpenApi, and replace with new package Microsoft.AspNetCore.OpenApi 10.0.11"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,SOAPServer\SOAPServer.csproj,File,SOAPServer\SOAPServer.csproj,,,System.ServiceModel.Primitives 6.0.0,,,,,"System.ServiceModel.Primitives, 6.0.0  Recommendation:  Remove System.ServiceModel.Primitives, and replace with new package CoreWCF.Primitives 1.9.1, CoreWCF.ConfigurationManager 1.9.1, CoreWCF.Http 1.9.1, CoreWCF.WebHttp 1.9.1, CoreWCF.NetTcp 1.9.1"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,SOAPServer\SOAPServer.csproj,File,SOAPServer\SOAPServer.csproj,,,,,,,,Current target framework: net7.0 Recommended target framework: net10.0
UpgradeScenario.0040,Migrate .NET Framework WCF services to CoreWCF,Active,Optional,5,SOAPServer\SOAPServer.csproj,File,SOAPServer\Services\ICustomerService.cs,,,,,,,,WCF service: C:\Users\brhv\source\repos\IntegrationProtocols\SOAPServer\Services\ICustomerService.cs
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,SOAPServer\SOAPServer.csproj,File,SOAPServer\Services\ICustomerService.cs,5,5,M:System.ServiceModel.ServiceContractAttribute.#ctor,,,,,ServiceContract
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,SOAPServer\SOAPServer.csproj,File,SOAPServer\Services\ICustomerService.cs,5,5,T:System.ServiceModel.ServiceContractAttribute,,,,,ServiceContract
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,SOAPServer\SOAPServer.csproj,File,SOAPServer\Services\ICustomerService.cs,8,9,M:System.ServiceModel.OperationContractAttribute.#ctor,,,,,OperationContract
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,SOAPServer\SOAPServer.csproj,File,SOAPServer\Services\ICustomerService.cs,8,9,T:System.ServiceModel.OperationContractAttribute,,,,,OperationContract
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,WebhookSender\WebhookSender.csproj,File,WebhookSender\WebhookSender.csproj,,,,,,,,Current target framework: net7.0 Recommended target framework: net10.0
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,WebSocketClient\WebSocketClient.csproj,File,WebSocketClient\WebSocketClient.csproj,,,,,,,,Current target framework: net7.0 Recommended target framework: net10.0
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,WebSocketServer\WebSocketServer.csproj,File,WebSocketServer\WebSocketServer.csproj,,,Microsoft.AspNetCore.OpenApi 7.0.11,,,,,"Microsoft.AspNetCore.OpenApi, 7.0.11  Recommendation:  Remove Microsoft.AspNetCore.OpenApi, and replace with new package Microsoft.AspNetCore.OpenApi 10.0.11"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,WebSocketServer\WebSocketServer.csproj,File,WebSocketServer\WebSocketServer.csproj,,,,,,,,Current target framework: net7.0 Recommended target framework: net10.0
